-------------------------------Rules------------------------------
R 1:                1 ==> 2
R678:                2, 3, 6, 9 ==> 1
R679:                3, 7, 8 ==> 1, 2
R680:                1, 2, 7, 8 ==> 3
R681:                1, 3, 7, 8 ==> 2
R682:                2, 3, 7, 8 ==> 1
R683:                7, 9 ==> 1, 2, 3
R684:                3, 7, 9 ==> 1, 2
R685:                2, 7, 9 ==> 1, 3
R686:                1, 7, 9 ==> 2, 3
R687:                1, 2, 7, 9 ==> 3
R688:                1, 3, 7, 9 ==> 2
R689:                2, 3, 7, 9 ==> 1
R690:                3, 8, 9 ==> 1, 2
R691:                2, 8, 9 ==> 1, 3
R692:                1, 8, 9 ==> 2, 3
R693:                1, 2, 3, 8 ==> 9
R694:                1, 2, 8, 9 ==> 3
R695:                1, 3, 8, 9 ==> 2
R696:                2, 3, 8, 9 ==> 1
R697:                4, 5, 6 ==> 1, 2
R698:                2, 4, 6 ==> 1, 5
R699:                1, 5, 6 ==> 2, 4
R700:                1, 4, 6 ==> 2, 5
R701:                1, 2, 4, 6 ==> 5
R702:                1, 2, 5, 6 ==> 4
R703:                1, 4, 5, 6 ==> 2
R704:                2, 4, 5, 6 ==> 1
R705:                5, 7 ==> 1, 2, 4
R706:                4, 5, 7 ==> 1, 2
R707:                2, 5, 7 ==> 1, 4
R708:                1, 5, 7 ==> 2, 4
R709:                1, 2, 7 ==> 4, 5
R710:                1, 2, 4, 7 ==> 5
R711:                1, 2, 5, 7 ==> 4
R712:                1, 4, 5, 7 ==> 2
R713:                2, 4, 5, 7 ==> 1
R714:                4, 5, 8 ==> 1, 2
R715:                2, 5, 8 ==> 1, 4
R716:                2, 4, 8 ==> 1, 5
R717:                1, 5, 8 ==> 2, 4
R718:                1, 2, 8 ==> 4, 5
R719:                1, 2, 4, 8 ==> 5
R720:                1, 2, 5, 8 ==> 4
R721:                1, 4, 5, 8 ==> 2
R722:                2, 4, 5, 8 ==> 1
R723:                4, 9 ==> 1, 2, 5
R724:                4, 5, 9 ==> 1, 2
R725:                2, 4, 9 ==> 1, 5
R726:                1, 5, 9 ==> 2, 4
R727:                1, 4, 9 ==> 2, 5
R728:                1, 2, 4, 9 ==> 5
R729:                1, 2, 5, 9 ==> 4
R730:                1, 4, 5, 9 ==> 2
R731:                2, 4, 5, 9 ==> 1
R732:                6, 7 ==> 1, 2, 4
R733:                4, 6, 7 ==> 1, 2
R734:                2, 6, 7 ==> 1, 4
R735:                1, 6, 7 ==> 2, 4
R736:                1, 2, 6, 7 ==> 4
R737:                1, 4, 6, 7 ==> 2
R738:                2, 4, 6, 7 ==> 1
R739:                4, 6, 8 ==> 1, 2
R740:                2, 6, 8 ==> 1, 4
R741:                1, 6, 8 ==> 2, 4
R742:                1, 2, 6, 8 ==> 4
R743:                1, 4, 6, 8 ==> 2
R744:                2, 4, 6, 8 ==> 1
R745:                4, 9 ==> 1, 2, 6
R746:                4, 6, 9 ==> 1, 2
R747:                2, 4, 9 ==> 1, 6
R748:                1, 6, 9 ==> 2, 4
R749:                1, 4, 9 ==> 2, 6
R750:                1, 2, 4, 9 ==> 6
R751:                1, 2, 6, 9 ==> 4
R752:                1, 4, 6, 9 ==> 2
R753:                2, 4, 6, 9 ==> 1
R754:                2, 7, 8 ==> 1, 4
R755:                2, 4, 8 ==> 1, 7
R756:                1, 7, 8 ==> 2, 4
R757:                1, 2, 4, 8 ==> 7
R758:                1, 2, 7, 8 ==> 4
R759:                1, 4, 7, 8 ==> 2
R760:                2, 4, 7, 8 ==> 1
R761:                7, 9 ==> 1, 2, 4
R762:                4, 7, 9 ==> 1, 2
R763:                2, 7, 9 ==> 1, 4
R764:                1, 7, 9 ==> 2, 4
R765:                1, 2, 7, 9 ==> 4
R766:                1, 4, 7, 9 ==> 2
R767:                2, 4, 7, 9 ==> 1
R768:                4, 8, 9 ==> 1, 2
R769:                2, 8, 9 ==> 1, 4
R770:                1, 8, 9 ==> 2, 4
